Billing Code,Category,Description,Charge $,Charge T,Charge P,Charge P1
A354,,,27.8,,,
A355,,,84.7,,,
A356,,,59,,,
A365,,,223.2,,,
A375,,,105.25,,,
A384,,,200,,,
A385,,,87.7,,,
A395,,,105.25,,,
A400,,,240.55,,,
A405,,,84.2,,,
A411,,,70.9,,,
A413,,,80.35,,,
A414,,,61.25,,,
A415,,,157,,,
A416,,,105.25,,,
A418,,,38.05,,,
A425,,,310.45,,,
A435,,,105.25,,,
A441,,,70.9,,,
A443,,,79.85,,,
A444,,,61.25,,,
A445,,,166.5,,,
A446,,,105.25,,,
A448,,,38.05,,,
A460,,,310.45,,,
A461,,,83.85,,,
A463,,,94.4,,,
A464,,,72.45,,,
A465,,,181.65,,,
A466,,,109.4,,,
A468,,,45,,,
A470,,,310.45,,,
A471,,,76.3,,,
A473,,,87.6,,,
A474,,,65.9,,,
A475,,,175.55,,,
A476,,,108.95,,,
A478,,,39.6,,,
A480,,,93.75,,,
A481,,,73.8,,,
A483,,,83.1,,,
A484,,,63.7,,,
A485,,,177.8,,,
A486,,,109.9,,,
A488,,,39.25,,,
A510,,,93.7,,,
A511,,,102.55,,,
A515,,,95.25,,,
A525,,,105.25,,,
A545,,,105.25,,,
A565,,,91.35,,,
A570,,,93,,,
A575,,,108.95,,,
A585,,,73.3,,,
A586,,,71.2,,,
A590,,,310.45,,,
A595,,,109.35,,,
A600,,,310.45,,,
A601,,,70.9,,,
A603,,,81.55,,,
A604,,,61.25,,,
A605,,,161.65,,,
A606,,,105.25,,,
A608,,,38.05,,,
A611,,,76.2,,,
A613,,,85.8,,,
A614,,,65.85,,,
A615,,,172,,,
A616,,,105.25,,,
A618,,,38.05,,,
A621,,,71.8,,,
A623,,,80.9,,,
A624,,,62.05,,,
A625,,,159,,,
A626,,,105.25,,,
A628,,,38.55,,,
A631,,,17.75,,,
A632,,,17.75,,,
A633,,,60,,,
A635,,,157,,,
A636,,,70,,,
A638,,,40,,,
A643,,,44.4,,,
A644,,,24.1,,,
A645,,,98.55,,,
A646,,,60,,,
A655,,,105.25,,,
A661,,,74.75,,,
A662,,,401.3,,,
A665,,,100.55,,,
A667,,,401.3,,,
A675,,,105.25,,,
A680,,,144.75,,,
A682,,,401.3,,,
A695,,,414.35,,,
A710,,,310.45,,,
A713,,,87.6,,,
A715,,,175.55,,,
A735,,,67.4,,,
A745,,,102.9,,,
A760,,,90.75,,,
A765,,,165.5,,,
A770,,,401.3,,,
A771,,,20.6,,,
A772,,,20.6,,,
A775,,,310.45,,,
A777,,,37.95,,,
A795,,,310.45,,,
A800,,,167.35,,,
A801,,,300.7,,,
A802,,,401.3,,,
A813,,,111.7,,,
A814,,,111.7,,,
A815,,,186.95,,,
A816,,,106.8,,,
A817,,,186.95,,,
A818,,,106.8,,,
A835,,,310.45,,,
A845,,,105.25,,,
A865,,,105.25,,,
A888,,,37.95,,,
A895,,,259.9,,,
A900,,,54.5,,,
A902,,,54.5,,,
A905,,,73.25,,,
